movie_id,imdb_id,tmdb_id,rating,average_rating,title
1100,0099371,2119,3.0,2.86037,Days of Thunder (1990)
1101,0092099,744,4.0,3.41321,Top Gun (1986)
1127,0096754,2756,3.0,3.66834,The Abyss (1989)
1136,0071853,762,3.0,4.14854,Monty Python and the Holy Grail (1975)
1196,0080684,1891,3.0,4.13421,The Empire Strikes Back (1980)
1198,0082971,85,4.0,4.12072,Raiders of the Lost Ark (1981)
1200,0090605,679,3.0,3.99481,Aliens (1986)
1202,0094336,13446,3.5,3.84109,Withnail & I (1987)
1206,0066921,185,3.5,3.98152,A Clockwork Orange (1971)
1208,0078788,28,3.5,4.10732,Apocalypse Now (1979)
1210,0086190,1892,3.5,3.9864,Return of the Jedi (1983)
1212,0041959,1092,5.0,4.20364,The Third Man (1949)
1213,0099685,769,3.5,4.17756,GoodFellas (1990)
1214,0078748,348,4.0,4.05003,Alien (1979)
1219,0054215,539,3.0,4.06204,Psycho (1960)
1220,0080455,525,3.0,3.79447,The Blues Brothers (1980)
1221,0071562,240,5.0,4.26279,The Godfather: Part II (1974)
1222,0093058,600,4.0,4.03955,Full Metal Jacket (1987)
1231,0086197,9549,4.0,3.92388,The Right Stuff (1983)
1233,0082096,387,3.0,4.10562,Das Boot (1981)
1234,0070735,9277,4.0,4.14165,The Sting (1973)
1240,0088247,218,2.0,3.89193,The Terminator (1984)
1246,0097165,207,3.0,3.91777,Dead Poets Society (1989)
1250,0050212,826,4.0,4.08323,The Bridge on the River Kwai (1957)
1258,0081505,694,3.0,4.01672,The Shining (1980)
1262,0057115,5925,4.0,4.10083,The Great Escape (1963)
1263,0077416,11778,3.5,3.96876,The Deer Hunter (1978)
1265,0107048,137,5.0,3.88519,Groundhog Day (1993)
1267,0056218,982,3.0,4.08833,The Manchurian Candidate (1962)
1270,0088763,105,4.0,3.93,Back to the Future (1985)
1271,0101921,1633,4.0,3.72816,Fried Green Tomatoes (1991)
1287,0052618,665,3.0,3.79691,Ben-Hur (1959)
1291,0097576,89,3.0,3.97981,Indiana Jones and the Last Crusade (1989)
1302,0097351,2323,1.0,3.62053,Field of Dreams (1989)
1307,0098635,639,3.0,3.83059,When Harry Met Sally... (1989)
1333,0056869,571,4.0,3.7296,The Birds (1963)
1345,0074285,7340,1.0,3.43281,Carrie (1976)
1347,0087800,377,0.5,3.27436,A Nightmare on Elm Street (1984)
1356,0117731,199,3.0,3.66424,Star Trek: First Contact (1996)
1357,0117631,7863,3.5,3.85064,Shine (1996)
1370,0099423,1573,2.5,3.44106,Die Hard 2 (1990)
1372,0102975,174,3.0,3.29961,Star Trek VI: The Undiscovered Country (1991)
1374,0084726,154,3.0,3.68531,Star Trek II: The Wrath of Khan (1982)
1380,0077631,621,1.0,3.30758,Grease (1978)
1385,0105690,8845,2.5,3.11994,Under Siege (1992)
1387,0073195,578,3.0,3.78508,Jaws (1975)
1391,0116996,75,2.0,2.96432,Mars Attacks! (1996)
1393,0116695,9390,3.0,3.60405,Jerry Maguire (1996)
1396,0105435,2322,3.0,3.63447,Sneakers (1992)
1405,0115641,3179,2.0,2.91886,Beavis and Butt-Head Do America (1996)
1416,0116250,8818,1.5,3.13808,Evita (1996)
1459,0118548,66,3.0,3.34556,Absolute Power (1997)
1466,0119008,9366,5.0,3.80221,Donnie Brasco (1997)
1485,0119528,1624,2.0,3.22898,Liar Liar (1997)
1500,0119229,9434,3.0,3.72297,Grosse Pointe Blank (1997)
1517,0118655,816,3.0,3.39814,Austin Powers: International Man of Mystery (1997)
1527,0119116,18,3.5,3.7547,The Fifth Element (1997)
1542,0115744,9450,3.0,3.5703,Brassed Off (1996)
1552,0118880,1701,3.0,3.19586,Con Air (1997)
1580,0119654,607,2.0,3.57862,Men in Black (1997)
1584,0118884,686,4.0,3.67317,Contact (1997)
1590,0119081,8413,2.5,2.96993,Event Horizon (1997)
1608,0118571,9772,3.0,3.32145,Air Force One (1997)
1610,0099810,1669,4.0,3.85825,The Hunt for Red October (1990)
1616,0119874,6623,2.5,3.03432,The Peacemaker (1997)
1617,0119488,2118,3.0,4.06334,L.A. Confidential (1997)
1620,0119468,9437,2.5,3.37671,Kiss the Girls (1997)
1641,0119164,9427,3.0,3.7031,The Full Monty (1997)
1663,0083131,10890,2.0,3.64288,Stripes (1981)
1676,0120201,563,4.0,3.26153,Starship Troopers (1997)
1682,0120382,37165,2.0,3.84555,The Truman Show (1998)
1687,0119395,4824,2.0,3.20294,The Jackal (1997)
1704,0119217,489,3.5,4.07626,Good Will Hunting (1997)
1721,0120338,597,2.5,3.40564,Titanic (1997)
1722,0120347,714,3.0,3.22736,Tomorrow Never Dies (1997)
1729,0119396,184,2.5,3.68779,Jackie Brown (1997)
1784,0119822,2898,3.0,3.78053,As Good as It Gets (1997)
1805,0120890,617,2.5,3.19586,Wild Things (1998)
1810,0119942,9440,3.0,3.47176,Primary Colors (1998)
1831,0120738,2157,2.0,2.59688,Lost in Space (1998)
1876,0120647,8656,3.0,2.95912,Deep Impact (1998)
1892,0120787,1965,3.0,3.38364,A Perfect Murder (1998)
1894,0120828,6068,1.5,2.87336,Six Days Seven Nights (1998)
1909,0120902,846,2.0,3.32894,The X Files (1998)
1917,0120591,95,3.5,2.99825,Armageddon (1998)
1923,0129387,544,4.0,3.52335,There's Something About Mary (1998)
1953,0067116,1051,4.0,3.92003,The French Connection (1971)
1961,0095953,380,3.0,3.91077,Rain Man (1988)
1962,0097239,403,1.0,3.68088,Driving Miss Daisy (1989)
1982,0077651,948,0.5,3.54483,Halloween (1978)
2000,0093409,941,2.0,3.69031,Lethal Weapon (1987)
